cota cotb p flp localx localy pT hittime PID
-5.46742 270.39667 0.00349 0 -26.16191 -15.72984 0.00261 1.61708 -11
0.02101 0.34181 0.30413 0 19.10809 23.55166 0.30251 20.73631 13
-0.02877 87.80877 0.00233 0 17.68402 24.97574 0.00224 1.68571 11
1.09114 372.67555 0.00233 0 9.10802 -28.87770 0.00224 0.41831 11
0.16172 90.12512 0.00233 0 27.62492 12.13249 0.00224 1.22753 11
8.05843 79.22066 0.00233 0 -28.57005 -9.85074 0.00224 0.43438 11
-11.69173 42.16811 0.00233 0 30.16500 -3.12486 0.00224 0.56327 11
-7.09138 72.37010 0.00233 0 -10.39600 28.34420 0.00224 1.29162 11
2.99988 63.97663 0.00233 0 -27.18477 -13.19511 0.00224 0.55341 11
0.60057 786.99310 0.00051 0 -1.72066 -30.17444 0.00012 0.70982 22
-3.86306 83.10322 0.00070 0 -30.16500 1.44298 0.00056 0.76773 22
4.76462 459.49602 0.00097 0 3.05254 -30.14349 0.00041 -0.12085 22
0.28685 237.23168 0.00097 0 9.93000 28.51600 0.00041 -0.12192 22
-1.05533 15.64259 0.00085 0 -27.02787 13.62967 0.00043 0.44650 22
1.23784 32.39791 0.00295 0 11.71462 27.79801 0.00253 3.84297 -11
-0.62887 88.28489 0.00295 0 -21.69503 20.96472 0.00253 6.06140 -11
0.22708 345.67308 0.00044 0 -30.14030 1.91905 0.00022 0.79550 22
-2.49532 79.43607 0.00018 0 12.25095 -27.57496 0.00016 0.53725 22
-0.50766 3.61635 0.31500 0 1.07546 30.16500 0.09860 5.04822 2212
3.02979 343.53894 0.00038 0 -24.99578 17.63545 0.00031 0.63376 22
2.93442 166.66727 0.00025 0 24.35952 -18.26488 0.00014 0.48101 22
1.74317 20.55592 0.01353 0 -28.79735 -9.30200 0.00151 0.98057 11
1.54588 1147.78244 0.01541 0 -19.59640 23.02800 0.00250 1.43533 11
-0.56419 777.01702 0.00135 0 25.32508 17.61945 0.00066 0.04284 11
-9.08689 9.80090 0.01255 0 28.07513 11.04559 0.01254 0.52750 11
-0.18852 4.90937 0.01255 0 -7.42020 30.16500 0.01254 0.66732 11
-0.06994 4.62186 0.01255 0 -3.09902 30.16500 0.01254 0.69381 11
4.14947 5.52133 0.01255 0 -30.16500 -5.00754 0.01254 0.66547 11
-16.27832 27.97045 0.01255 0 5.96883 30.17799 0.01254 0.50291 11
0.60907 8.14470 0.01255 0 25.10659 18.21227 0.01254 1.50366 11
0.12394 6.43666 0.01255 0 7.45495 29.56242 0.01254 9.12292 11
-0.27923 6.51289 0.01255 0 -5.14882 -30.51765 0.01254 0.74896 11
2.70662 32.02656 0.01255 0 -5.21945 30.16500 0.01254 2.14828 11
2.20572 4.83908 0.01255 0 -28.97024 -8.88459 0.01254 0.68794 11
0.71899 395.12498 0.00029 0 -18.17313 24.48015 0.00024 0.84034 22
-5.95040 133.17608 0.00333 0 30.17682 3.29725 0.00078 -0.10347 11
0.55972 94.57580 0.00162 0 -3.28712 30.16500 0.00034 0.24050 22
2.70864 33.92793 0.00231 0 7.39619 -29.58655 0.00122 0.13724 11
-24.13400 108.48856 0.00051 0 -30.16500 -3.85972 0.00034 -0.02825 22
-0.53473 2504.24909 0.00051 0 -28.78552 9.31286 0.00034 -0.02836 22
-50.58352 84.16750 0.00159 0 26.27884 -15.38221 0.00126 1.15582 -11
-0.68375 56.76487 0.00159 0 -18.63707 24.02268 0.00126 1.13591 -11
-1.80724 223.87658 0.00159 0 -27.45752 -12.53663 0.00126 1.40584 -11
-1.16663 721.59384 0.00159 0 20.63870 -22.02105 0.00126 1.22901 -11
-0.44283 86.29893 0.00159 0 -12.46536 27.48704 0.00126 1.57145 -11
1.81401 86.03458 0.00159 0 -24.97255 -18.53587 0.00126 1.51915 -11
-0.47248 195.18382 0.00159 0 17.28922 25.33518 0.00126 1.35216 -11
1.55424 1783.26112 0.00138 0 -27.90816 11.38336 0.00128 1.86283 11
-1.74422 197.76933 0.00046 0 -7.52254 30.18455 0.00037 0.03769 22
-0.15653 719.21207 0.00043 0 23.52533 -19.14568 0.00009 1.07697 22
0.37702 242.56087 0.00579 0 27.04495 -13.46732 0.00467 1.26603 11
0.11915 120.63442 0.00579 0 27.16246 13.24897 0.00467 1.28426 11
0.07332 24.51826 0.01063 0 21.56323 -21.09652 0.00563 -0.16321 11
0.25078 28.57357 0.01063 0 16.61449 -25.76841 0.00563 -0.15732 11
-0.32421 19.28756 0.01063 0 -29.02916 8.74235 0.00563 -0.15859 11
2.65367 24.41354 0.01063 0 -11.24045 -27.99441 0.00563 -0.14897 11
-0.94896 22.53844 0.01063 0 -30.16500 -6.52859 0.00563 -0.16207 11
0.89857 23.00407 0.01063 0 -0.50536 -30.16500 0.00563 -0.14913 11
-0.96841 24.43325 0.01063 0 30.16500 3.96289 0.00563 -0.16154 11
-0.79162 30.28204 0.01063 0 30.16500 8.22401 0.00563 -0.17403 11
1.37246 72.75513 0.00218 0 30.16500 2.05263 0.00160 0.20745 11
-2.57483 22.29270 0.01063 0 27.14449 13.29235 0.00563 -0.15223 11
0.02236 28.41860 0.01063 0 20.11294 -22.54682 0.00563 -0.15342 11
2.40171 21.58413 0.01063 0 6.61270 29.91129 0.00563 -0.15421 11
0.01831 21.97034 0.01063 0 -22.88295 19.77680 0.00563 -0.15158 11
-0.47216 25.40353 0.01063 0 29.60301 -7.35697 0.00563 -0.15905 11
-0.33554 21.61111 0.01063 0 30.81466 -4.43176 0.00563 -0.16297 11
2.98964 28.57080 0.01063 0 -5.37399 -30.42438 0.00563 -0.16129 11
-5.00825 49.61966 0.01063 0 26.87204 13.95011 0.00563 -0.15161 11
7.98751 24.64052 0.01063 0 17.32588 25.33691 0.00563 -0.16297 11
-1.21115 16.61727 0.00373 0 17.28117 25.34626 0.00251 -0.16283 11
0.81544 37.67603 0.01063 0 19.34701 -24.63657 0.00563 -0.18238 11
-0.00012 25.61828 0.01063 0 -22.60624 20.05351 0.00563 -0.15655 11
71.11058 25.15805 0.01063 0 -15.93043 -26.72933 0.00563 -0.16100 11
0.49012 21.02920 0.01063 0 16.61439 -25.76845 0.00563 -0.16295 11
2.18458 17.44689 0.01063 0 4.48497 30.79262 0.00563 -0.15506 11
-0.42670 181.44028 0.00210 0 4.49974 30.80921 0.00050 -0.15496 11
